construct,item_number,synthetic_item,response_scale
Meaning violation,1,The event disrupted assumptions I depended on.,1=strongly disagree; 7=strongly agree
Meaning violation,2,The event made important beliefs difficult to maintain.,1=strongly disagree; 7=strongly agree
Meaning violation,3,The event blocked goals that mattered deeply to me.,1=strongly disagree; 7=strongly agree
Meaning violation,4,The future I expected became difficult to imagine.,1=strongly disagree; 7=strongly agree
Meaning in life,1,My life currently feels coherent.,1=strongly disagree; 7=strongly agree
Meaning in life,2,I can make sense of where my life is going.,1=strongly disagree; 7=strongly agree
Meaning in life,3,I have a clear sense of purpose.,1=strongly disagree; 7=strongly agree
Meaning in life,4,My future feels connected to meaningful goals.,1=strongly disagree; 7=strongly agree
Positive R/S coping,1,My spiritual or religious framework helps me reinterpret the stressor.,1=strongly disagree; 7=strongly agree
Positive R/S coping,2,Prayer or reflection helps me find a workable perspective.,1=strongly disagree; 7=strongly agree
Positive R/S coping,3,I feel spiritually supported while coping.,1=strongly disagree; 7=strongly agree
Positive R/S coping,4,My beliefs help me identify constructive next steps.,1=strongly disagree; 7=strongly agree
R/S struggle,1,I feel spiritually abandoned when I think about the stressor.,1=strongly disagree; 7=strongly agree
R/S struggle,2,The stressor creates conflict with my religious or spiritual beliefs.,1=strongly disagree; 7=strongly agree
R/S struggle,3,I feel anger or disappointment toward God or the sacred.,1=strongly disagree; 7=strongly agree
R/S struggle,4,Religious or spiritual questions increase my distress.,1=strongly disagree; 7=strongly agree
Recovery/functioning,1,I can carry out important daily responsibilities.,1=strongly disagree; 7=strongly agree
Recovery/functioning,2,I feel emotionally steadier than I did earlier.,1=strongly disagree; 7=strongly agree
Recovery/functioning,3,I can imagine a worthwhile future.,1=strongly disagree; 7=strongly agree
Recovery/functioning,4,I feel able to reconnect with people and activities that matter.,1=strongly disagree; 7=strongly agree
