variable,description
participant_id,Synthetic participant identifier
synthetic_flag,Always TRUE; no real participant data
age,Synthetic age in years
gender,Synthetic gender category
stressor_type,Synthetic major-stressor category
months_since_stressor_t1,Months from event to baseline
baseline_stressor_severity,"Baseline perceived severity, 1-7"
baseline_religiosity,"Baseline self-rated religiosity/spiritual importance, 1-7"
wave1_observed,Whether wave 1 data are observed
mv_t1,"Meaning violation composite, wave 1; mean of four 1-7 synthetic items"
meaning_t1,"Meaning in life / coherence composite, wave 1; mean of four 1-7 synthetic items"
prc_t1,"Positive religious/spiritual coping composite, wave 1; mean of four 1-7 synthetic items"
struggle_t1,"Religious/spiritual struggle composite, wave 1; mean of four 1-7 synthetic items"
recovery_t1,"Psychological recovery/functioning composite, wave 1; mean of four 1-7 synthetic items"
wave2_observed,Whether wave 2 data are observed
mv_t2,"Meaning violation composite, wave 2; mean of four 1-7 synthetic items"
meaning_t2,"Meaning in life / coherence composite, wave 2; mean of four 1-7 synthetic items"
prc_t2,"Positive religious/spiritual coping composite, wave 2; mean of four 1-7 synthetic items"
struggle_t2,"Religious/spiritual struggle composite, wave 2; mean of four 1-7 synthetic items"
recovery_t2,"Psychological recovery/functioning composite, wave 2; mean of four 1-7 synthetic items"
wave3_observed,Whether wave 3 data are observed
mv_t3,"Meaning violation composite, wave 3; mean of four 1-7 synthetic items"
meaning_t3,"Meaning in life / coherence composite, wave 3; mean of four 1-7 synthetic items"
prc_t3,"Positive religious/spiritual coping composite, wave 3; mean of four 1-7 synthetic items"
struggle_t3,"Religious/spiritual struggle composite, wave 3; mean of four 1-7 synthetic items"
recovery_t3,"Psychological recovery/functioning composite, wave 3; mean of four 1-7 synthetic items"
wave4_observed,Whether wave 4 data are observed
mv_t4,"Meaning violation composite, wave 4; mean of four 1-7 synthetic items"
meaning_t4,"Meaning in life / coherence composite, wave 4; mean of four 1-7 synthetic items"
prc_t4,"Positive religious/spiritual coping composite, wave 4; mean of four 1-7 synthetic items"
struggle_t4,"Religious/spiritual struggle composite, wave 4; mean of four 1-7 synthetic items"
recovery_t4,"Psychological recovery/functioning composite, wave 4; mean of four 1-7 synthetic items"
